ticker,date,open,high,low,close
RPL,2023-02-16,46.8024,49.6145,44.9321,47.8263
RPL,2023-02-17,47.8762,57.9835,46.0251,52.7247
RPL,2023-02-18,52.6579,55.9134,50.7402,53.4085
RPL,2023-02-19,53.4085,55.2572,50.7542,51.3818
RPL,2023-02-20,51.3438,51.8275,49.4418,49.4705
RPL,2023-02-21,49.4709,50.535,46.5858,47.4776
RPL,2023-02-22,47.5815,49.465,45.5854,49.043
RPL,2023-02-23,49.4265,52.1051,48.5192,49.2034
RPL,2023-02-24,49.2374,50.4055,46.5102,46.9403
RPL,2023-02-25,46.9669,48.3882,45.5371,46.9555
RPL,2023-02-26,46.9333,49.772,46.8523,48.8998
RPL,2023-02-27,49.2176,51.2641,47.3174,48.3452
RPL,2023-02-28,48.3586,48.6731,45.9914,46.3121
RPL,2023-03-01,46.4395,56.9688,45.5131,46.4151
RPL,2023-03-02,46.3421,47.1008,42.8991,44.1981
RPL,2023-03-03,44.2178,44.3367,40.545,41.1823
RPL,2023-03-04,41.1705,41.3632,39.202,39.3479
RPL,2023-03-05,39.4048,42.8862,39.2031,40.4693
RPL,2023-03-06,40.4365,40.4859,38.6988,39.0693
RPL,2023-03-07,38.9903,39.0663,35.947,36.2603
RPL,2023-03-08,36.2954,37.8291,36.1894,36.9785
RPL,2023-03-09,37.068,38.015,35.7096,36.6645
RPL,2023-03-10,36.6103,36.7578,34.0419,35.3014
RPL,2023-03-11,35.3324,36.9416,31.1297,34.2808
RPL,2023-03-12,33.7273,36.7677,33.2575,36.3733
RPL,2023-03-13,36.3903,42.8659,36.3001,42.3582
RPL,2023-03-14,42.3839,45.5134,41.5821,42.9297
RPL,2023-03-15,42.8517,43.9272,37.7923,38.2355
RPL,2023-03-16,38.1817,41.219,37.5545,40.7969
RPL,2023-03-17,40.8225,43.3016,40.7464,43.067
RPL,2023-03-18,42.17,44.679,42.17,42.595
RPL,2023-03-19,42.497,44.2078,41.62,43.442
RPL,2023-03-20,43.4,43.7248,40.4609,40.9867
RPL,2023-03-21,41.2106,42.0779,39.6882,40.7618
RPL,2023-03-22,40.7132,40.9714,37.8079,38.4132
RPL,2023-03-23,38.4916,41.0788,38.182,40.3499
RPL,2023-03-24,40.2954,40.4833,37.3879,37.8497
RPL,2023-03-25,37.9383,39.0789,37.3903,38.5199
RPL,2023-03-26,38.4529,42.9636,38.2513,41.3943
